,total_sqft,bath,price,location,bhk
0,1056.0,2.0,39.07,Alandi Road,2
1,2894.0,4.0,245.0,Alandi Road,4
2,1084.0,2.0,50.0,Alandi Road,2
3,1230.0,2.0,80.0,Alandi Road,2
4,1750.0,3.0,130.0,Alandi Road,3
5,995.0,2.0,41.0,Alandi Road,2
7,1360.0,2.0,95.0,Alandi Road,2
8,1040.0,2.0,50.0,Alandi Road,2
9,1655.0,3.0,86.06,Alandi Road,3
11,2790.0,5.0,198.0,Alandi Road,4
12,1028.0,2.0,42.0,Alandi Road,2
13,1300.0,2.0,57.0,Alandi Road,2
14,1564.0,3.0,101.0,Alandi Road,3
15,1012.0,2.0,59.0,Alandi Road,2
16,2519.0,5.0,185.0,Alandi Road,4
17,1520.0,2.0,62.0,Alandi Road,2
18,1550.0,3.0,78.0,Alandi Road,3
19,950.0,2.0,46.5,Alandi Road,2
20,1280.0,2.0,56.0,Alandi Road,2
21,1350.0,2.0,79.0,Alandi Road,2
22,1500.0,2.0,85.0,Alandi Road,3
23,3250.0,4.0,230.0,Alandi Road,4
24,1150.0,2.0,77.5,Alandi Road,3
25,1080.0,2.0,75.0,Alandi Road,3
26,1743.0,3.0,93.25,Alandi Road,3
27,984.0,2.0,45.91,Alandi Road,2
28,4500.0,9.0,166.0,Alandi Road,9
29,1225.0,2.0,55.0,Alandi Road,2
30,1100.0,2.0,50.0,Alandi Road,2
31,1210.0,2.0,75.0,Alandi Road,2
32,1250.0,2.0,72.0,Alandi Road,2
33,900.0,2.0,42.0,Alandi Road,2
34,1075.0,2.0,52.43,Alandi Road,2
35,1265.0,2.0,82.0,Alandi Road,2
36,900.0,2.0,41.0,Alandi Road,2
38,1100.0,2.0,48.0,Alandi Road,2
39,1850.0,3.0,90.0,Alandi Road,3
41,1475.0,2.0,74.0,Alandi Road,3
42,1265.0,2.0,65.0,Alandi Road,3
43,1300.0,2.0,98.0,Alandi Road,2
44,937.0,2.0,35.0,Alandi Road,2
45,1000.0,2.0,58.0,Alandi Road,2
46,700.0,2.0,43.0,Alandi Road,2
47,1265.0,2.0,46.6,Alandi Road,2
48,1008.0,2.0,32.25,Alandi Road,2
49,2072.0,4.0,155.0,Alandi Road,3
51,7000.0,4.0,550.0,Alandi Road,4
